domain, index, method, duration (ms), f
SAT, 0, Adap-HH, 600000, 4.0
SAT, 0, Adap-HH, 600000, 3.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 6.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 3.0
SAT, 0, Adap-HH, 600000, 4.0
SAT, 0, Adap-HH, 600000, 4.0
SAT, 0, Adap-HH, 600000, 3.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 3.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 7.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 7.0
SAT, 0, Adap-HH, 600000, 3.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 6.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 6.0
SAT, 0, Adap-HH, 600000, 4.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 3.0
SAT, 0, Adap-HH, 600000, 2.0
SAT, 0, Adap-HH, 600000, 3.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 3.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
SAT, 0, FS-ILS, 600000, 2.0
