domain, index, Adap-HH, FS-ILS, NR-FS-ILS, EPH, AA-HH, ANW-HH
SAT, 0, 3.0, 2.0, 2.0, 14.0, 177.0, 47.0
SAT, 1, 24.0, 21.0, 22.0, 32.0, 187.0, 63.0
SAT, 2, 19.0, 16.0, 17.0, 25.0, 182.0, 58.0
SAT, 3, 3.0, 2.0, 3.0, 9.0, 90.0, 37.0
SAT, 4, 2.0, 1.0, 2.0, 6.0, 100.0, 45.0
SAT, 5, 5.0, 3.0, 3.0, 14.0, 170.0, 67.0
SAT, 6, 5.0, 5.0, 6.0, 8.0, 24.0, 19.0
SAT, 7, 5.0, 5.0, 6.0, 8.0, 23.0, 19.0
SAT, 8, 8.0, 8.0, 9.0, 12.0, 36.0, 24.0
SAT, 9, 213.0, 211.0, 211.0, 215.0, 295.0, 243.0
SAT, 10, 2.0, 1.0, 1.0, 12.0, 145.0, 42.0
SAT, 11, 8.0, 8.0, 9.0, 12.0, 36.0, 24.0
BinPacking, 0, 0.0028426622110832023, 0.007607333333333077, 0.007418444444444061, 0.005963777777777901, 0.0670771051923581, 0.011220836796896116
BinPacking, 1, 0.0036177339901476424, 0.0077881517881516205, 0.007627190827190433, 0.003608100711548823, 0.06345945372579931, 0.011539215686274251
BinPacking, 2, 0.02118690322580674, 0.022828774193548673, 0.023270258064516436, 0.020296000000000203, 0.02941567741935558, 0.028170677419355084
BinPacking, 3, 0.020825049180328126, 0.024272950819672512, 0.024044098360656352, 0.01969419672131134, 0.03265990163934385, 0.02681868852459013
BinPacking, 4, 0.0045631294215561224, 0.004570120682479972, 0.004560799001248506, 3.463659147868725E-4, 0.02184568360181771, 3.4603174603164977E-4
BinPacking, 5, 0.00332441140024764, 0.0037120198265180315, 0.0037890128046259575, 0.0031449814126394138, 0.023725653594771523, 0.003301280462618794
BinPacking, 6, 0.01560878338278926, 0.015052575667655832, 0.0110469642857145, 0.020939242603551178, 0.18291909973045828, 0.014861566765578704
BinPacking, 7, 0.029421128129601404, 0.02944364653902909, 0.027072598820059524, 0.04551637664233499, 0.18252569770580185, 0.01592609792284716
BinPacking, 8, 0.12399986801584206, 0.05207330586081249, 0.05225004578755443, 0.060366955332734284, 0.12287475770925216, 0.051562500000007394
