512 1536
1 2 80439
2 3 109528
3 4 -77208
4 5 -135753
5 6 -38835
6 7 211247
7 8 36245
8 1 164424
9 10 -41307
10 11 -118332
11 12 59807
12 13 72618
13 14 64995
14 15 93137
15 16 41812
16 9 -3000
17 18 14120
18 19 127776
19 20 -97753
20 21 136499
21 22 -58698
22 23 -53074
23 24 49907
24 17 39164
25 26 -112446
26 27 64094
27 28 -29421
28 29 -48607
29 30 57274
30 31 33476
31 32 -147775
32 25 -137342
33 34 -14665
34 35 47972
35 36 31896
36 37 -19317
37 38 -64438
38 39 -128880
39 40 84601
40 33 96538
41 42 -77882
42 43 -62203
43 44 21121
44 45 -231037
45 46 -114606
46 47 -258418
47 48 152909
48 41 -14147
49 50 95744
50 51 141612
51 52 73326
52 53 3836
53 54 70717
54 55 2557
55 56 -67732
56 49 86883
57 58 -12517
58 59 -78756
59 60 22786
60 61 -70412
61 62 123615
62 63 166725
63 64 -44195
64 57 44099
1 9 -36918
2 10 -105544
3 11 -34270
4 12 46911
5 13 24479
6 14 -45291
7 15 -203673
8 16 7636
9 17 157234
10 18 -48026
11 19 49092
12 20 -153843
13 21 75293
14 22 -35658
15 23 118103
16 24 -78329
17 25 -118788
18 26 -125876
19 27 112622
20 28 -175247
21 29 79327
22 30 126131
23 31 90076
24 32 -22350
25 33 113252
26 34 198896
27 35 43617
28 36 150223
29 37 -139009
30 38 8257
31 39 -41754
32 40 -76726
33 41 25746
34 42 -254502
35 43 237
36 44 39257
37 45 -55221
38 46 -142771
39 47 -87584
40 48 -154664
41 49 -3676
42 50 -86355
43 51 -86092
44 52 -5068
45 53 -150901
46 54 -100622
47 55 -168970
48 56 28292
49 57 112160
50 58 -8654
51 59 -120908
52 60 -1601
53 61 69713
54 62 -54589
55 63 42498
56 64 -75751
57 1 -58552
58 2 39231
59 3 -243277
60 4 -171892
61 5 -28130
62 6 -48330
63 7 7095
64 8 -208049
1 65 27114
2 66 143973
3 67 -109408
4 68 -61657
5 69 41157
6 70 20597
7 71 105558
8 72 50655
9 73 198050
10 74 35891
11 75 66247
12 76 -107011
13 77 166642
14 78 250460
15 79 -36434
16 80 42827
17 81 93656
18 82 8236
19 83 -2123
20 84 -194374
21 85 89265
22 86 -81456
23 87 -52054
24 88 11087
25 89 -2645
26 90 33481
27 91 97024
28 92 56286
29 93 -11624
30 94 -27405
31 95 106838
32 96 -155742
33 97 235211
34 98 33245
35 99 41398
36 100 58780
37 101 -53387
38 102 -77107
39 103 85939
40 104 -38964
41 105 -70243
42 106 -57521
43 107 -16561
44 108 70435
45 109 -50114
46 110 -53479
47 111 1186
48 112 115456
49 113 -39629
50 114 -60270
51 115 3937
52 116 -131293
53 117 56026
54 118 -74397
55 119 -10279
56 120 114644
57 121 -48646
58 122 -15103
59 123 -83175
60 124 84698
61 125 175288
62 126 -84360
63 127 186223
64 128 46022
65 66 -216072
66 67 -60362
67 68 -29166
68 69 -66760
69 70 -32511
70 71 5187
71 72 21699
72 65 -68352
73 74 60229
74 75 76863
75 76 -53299
76 77 10798
77 78 1321
78 79 -26184
79 80 -126419
80 73 124704
81 82 4598
82 83 -16238
83 84 -83410
84 85 136765
85 86 -8156
86 87 -102645
87 88 -70538
88 81 -78261
89 90 -51686
90 91 168428
91 92 40484
92 93 -54627
93 94 -44633
94 95 1924
95 96 -101056
96 89 -15767
97 98 -12366
98 99 -187815
99 100 -159431
100 101 210769
101 102 48375
102 103 5777
103 104 -20578
104 97 37541
105 106 153652
106 107 -113591
107 108 -56185
108 109 290339
109 110 19595
110 111 51332
111 112 47478
112 105 -229730
113 114 187583
114 115 184394
115 116 -189896
116 117 27382
117 118 -35615
118 119 95773
119 120 -114019
120 113 -156215
121 122 -56238
122 123 -68092
123 124 -45491
124 125 112981
125 126 41136
126 127 -87277
127 128 -21040
128 121 61765
65 73 -67303
66 74 26764
67 75 106005
68 76 -76729
69 77 -121882
70 78 180344
71 79 -13315
72 80 29756
73 81 -6066
74 82 151364
75 83 89743
76 84 -190336
77 85 49795
78 86 -6974
79 87 -139089
80 88 -44154
81 89 -126733
82 90 -51126
83 91 89634
84 92 -127979
85 93 -5565
86 94 70275
87 95 -71545
88 96 102833
89 97 94391
90 98 51364
91 99 211587
92 100 -149690
93 101 101481
94 102 73921
95 103 58535
96 104 82446
97 105 122306
98 106 -26353
99 107 -8308
100 108 221421
101 109 -2338
102 110 48273
103 111 60879
