1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
59 56 55 53 55 62 53 52 58 62 59 63 66 58 62 60 61 61 63 58 
57 48 53 52 51 56 52 52 57 54 56 62 56 56 58 58 55 58 60 50 
58 58 54 52 55 61 55 54 58 59 58 63 62 57 59 58 61 64 64 58 
58 56 53 54 53 58 52 53 57 58 57 62 61 58 62 60 58 60 63 57 
59 56 53 54 57 60 54 54 56 59 57 61 62 56 60 60 57 63 66 56 
58 56 53 52 57 59 56 52 56 59 60 63 64 58 62 58 60 60 64 58 
59 48 54 52 50 57 50 52 56 56 55 61 58 58 58 58 55 57 62 50 
58 48 53 54 52 55 51 52 58 57 56 61 56 58 60 60 55 57 62 50 
59 56 55 53 58 63 55 52 58 62 59 61 64 58 62 60 59 62 63 58 
57 51 53 52 50 56 52 52 58 58 57 63 61 58 58 58 56 59 60 51 
58 52 54 54 54 60 53 53 56 57 56 61 60 57 61 58 59 61 62 55 
57 54 53 52 57 62 53 52 56 61 58 62 63 58 62 60 58 64 62 59 
59 53 55 54 56 61 52 52 58 56 56 62 60 56 62 58 60 62 62 54 
59 56 53 53 54 59 52 54 56 61 58 63 64 56 62 59 61 63 64 55 
58 50 53 52 50 56 51 54 58 54 55 61 56 56 58 58 55 59 62 53 
58 57 53 52 55 63 52 54 57 61 57 63 61 58 62 60 57 60 62 59 
59 54 55 52 56 61 51 53 58 60 57 61 59 58 61 60 56 59 64 53 
58 51 53 54 56 57 53 52 57 57 56 62 61 58 58 58 58 58 63 57 
57 55 54 53 56 63 52 52 57 61 58 62 63 56 59 58 59 61 62 55 
57 50 54 52 51 58 54 54 56 58 55 63 60 58 58 60 57 59 64 55 
58 57 54 52 57 63 56 52 57 59 60 63 64 57 60 60 61 64 63 60 
59 51 55 54 52 60 54 54 56 56 55 62 58 58 60 59 55 58 63 55 
58 54 55 52 56 58 56 53 56 60 58 61 62 58 62 58 61 60 66 59 
59 57 55 54 56 61 56 54 58 60 61 63 66 56 62 59 60 64 66 60 
59 49 53 54 53 57 52 52 56 58 55 63 59 56 58 60 55 58 63 53 
