c degrees:  6 
c girth: 8 max: 6.822736  
c desired: 1200
p cnf 300 1200
174 115 -65 0
-195 225 95 0
-136 262 89 0
-129 -98 57 0
260 147 108 0
-130 88 -213 0
270 186 178 0
104 -4 -94 0
-244 33 166 0
-287 32 -295 0
89 -260 -102 0
107 -161 -139 0
-3 65 244 0
-128 139 -78 0
203 -237 -113 0
-194 6 247 0
-176 -3 163 0
14 -92 240 0
287 134 -290 0
228 150 229 0
154 68 -170 0
-217 -186 165 0
231 180 -253 0
-218 35 -115 0
-7 94 -164 0
245 47 -90 0
-224 69 -78 0
148 222 250 0
235 156 193 0
60 71 -287 0
9 128 231 0
133 -87 53 0
17 174 44 0
-83 179 174 0
298 -206 162 0
113 40 -32 0
78 236 86 0
42 -160 -222 0
-12 -132 -226 0
-119 191 107 0
-46 41 189 0
32 -157 204 0
-250 -148 -67 0
48 89 -245 0
-121 -200 -18 0
-21 106 235 0
277 294 279 0
40 -250 -38 0
-116 -129 115 0
128 138 100 0
188 -33 259 0
168 -131 -204 0
-105 -192 178 0
120 -117 9 0
-272 239 -51 0
131 195 -105 0
229 -16 -22 0
-277 -67 -195 0
-9 -177 -84 0
84 152 255 0
19 -218 84 0
-15 60 -156 0
-200 221 -130 0
-146 146 270 0
253 -214 -102 0
101 -34 43 0
193 45 23 0
155 -164 -215 0
-153 -101 258 0
141 -232 -293 0
-298 -258 -194 0
182 22 -20 0
-227 -38 -100 0
-160 -226 -205 0
262 189 -208 0
-47 -80 172 0
170 -143 -236 0
-117 -133 -233 0
85 168 37 0
219 -98 140 0
292 289 11 0
175 -64 230 0
251 282 48 0
21 60 116 0
265 -277 188 0
122 127 139 0
269 -188 -241 0
6 -54 272 0
-57 -269 68 0
297 -85 50 0
109 23 -29 0
-81 -251 252 0
46 228 -240 0
-286 -223 62 0
98 189 -220 0
-41 232 29 0
63 -287 151 0
-79 -11 97 0
-177 114 233 0
-30 55 259 0
234 -169 251 0
37 94 119 0
-33 -205 -31 0
8 -152 -288 0
239 -211 -47 0
70 228 -48 0
-95 107 -296 0
-112 -146 33 0
176 293 -106 0
-155 -180 108 0
-201 46 -278 0
-178 -105 -32 0
4 -88 -16 0
-275 -144 54 0
-170 -238 156 0
112 -174 -179 0
151 109 -279 0
237 -281 -94 0
192 -48 219 0
100 239 -114 0
-220 -91 -182 0
-126 -24 253 0
-289 -131 131 0
62 148 -290 0
118 -20 -203 0
214 -68 -146 0
-192 -41 158 0
-181 187 217 0
79 -257 197 0
-74 -245 -44 0
179 100 -283 0
-5 172 33 0
254 200 256 0
226 -12 288 0
-132 -221 113 0
243 199 170 0
222 205 261 0
-110 44 288 0
198 -73 74 0
-197 126 69 0
-39 38 -13 0
-123 170 19 0
275 103 14 0
-284 -265 144 0
-221 -295 269 0
-11 -173 -188 0
166 38 110 0
59 68 -267 0
121 209 171 0
116 -36 201 0
-140 -41 7 0
-102 -73 211 0
52 -263 -9 0
153 242 198 0
156 -116 -272 0
-248 -47 108 0
143 -24 188 0
-67 -222 -91 0
-199 279 75 0
-10 261 236 0
-204 -244 -2 0
-222 -221 -176 0
-63 -284 145 0
-283 -36 134 0
-125 136 245 0
2 -130 -233 0
163 84 90 0
-71 266 -213 0
92 23 266 0
288 136 48 0
65 261 66 0
-62 102 -44 0
18 19 232 0
281 45 59 0
-133 202 87 0
215 50 213 0
106 -113 -42 0
183 282 37 0
-22 -184 99 0
-157 -69 -259 0
-24 105 -189 0
274 56 81 0
-269 149 29 0
-144 171 -148 0
-98 -274 159 0
58 147 88 0
172 209 -236 0
31 -211 105 0
126 -108 -267 0
-100 126 -124 0
161 156 -72 0
103 -157 263 0
-158 41 -176 0
206 -196 27 0
-50 -264 38 0
-216 231 -103 0
130 163 267 0
197 -201 -159 0
-43 -122 53 0
-291 104 298 0
-274 -23 -276 0
-17 -79 225 0
-166 240 -190 0
86 229 202 0
-76 292 1 0
-209 125 -242 0
136 120 -269 0
204 20 -244 0
-257 -181 208 0
-193 249 -277 0
218 59 -219 0
-87 -2 -261 0
111 -105 164 0
23 -44 -111 0
211 -270 145 0
-106 -119 73 0
289 -159 -214 0
-255 -63 105 0
-207 98 -168 0
-165 142 194 0
267 -202 -237 0
-49 -142 -268 0
35 -168 56 0
-196 178 65 0
33 39 -12 0
181 222 235 0
-124 -291 51 0
-42 -184 -279 0
296 267 214 0
-53 154 -100 0
-246 13 112 0
99 -126 146 0
272 -35 -178 0
12 89 -88 0
-282 -299 262 0
-273 -110 183 0
-167 131 266 0
-180 -216 153 0
-101 257 103 0
217 133 -3 0
-107 -166 221 0
119 58 250 0
-205 -246 218 0
150 -30 -218 0
127 231 117 0
279 176 -208 0
110 -32 -103 0
67 -86 -167 0
-174 33 -169 0
-109 217 -18 0
278 161 7 0
80 286 119 0
282 82 92 0
240 -163 -147 0
-182 -247 -249 0
221 -210 111 0
-173 281 -54 0
-59 -167 151 0
169 -1 -297 0
299 -262 -210 0
-150 217 -277 0
-297 54 276 0
-92 76 -197 0
38 -269 170 0
167 230 264 0
57 -89 228 0
-262 -89 268 0
74 152 -10 0
238 -113 35 0
-168 -151 154 0
-72 -191 -14 0
-171 -118 243 0
-223 82 161 0
-142 -180 215 0
134 -39 -246 0
-66 113 -255 0
-241 55 -14 0
252 175 180 0
-190 -235 260 0
-149 268 -258 0
264 -245 -67 0
53 75 203 0
-243 276 -273 0
82 -66 -19 0
207 -125 265 0
26 -249 274 0
-13 249 -212 0
-208 66 -293 0
34 -60 125 0
-288 183 116 0
-111 -99 -114 0
-267 -296 10 0
-40 -217 212 0
105 72 -229 0
39 95 71 0
-161 -285 -53 0
-264 20 -77 0
54 5 -227 0
-148 226 -149 0
-259 37 43 0
1 -247 69 0
-88 -176 101 0
-230 157 290 0
-175 9 76 0
-252 -75 139 0
220 -186 12 0
-51 122 148 0
-198 4 103 0
-55 246 64 0
81 198 8 0
246 -16 -182 0
-65 -135 229 0
-240 -128 185 0
-206 -33 -74 0
16 140 -185 0
-113 214 80 0
72 107 -101 0
76 -40 -134 0
-14 291 -286 0
-52 209 277 0
224 227 -22 0
90 68 -106 0
-189 25 -178 0
216 285 -57 0
91 -226 118 0
-285 104 -274 0
152 -15 -141 0
-45 -103 -289 0
-141 162 -47 0
-290 -273 -238 0
25 278 -111 0
-82 204 264 0
271 277 211 0
-232 190 184 0
263 253 -202 0
-54 196 29 0
66 -298 -154 0
293 64 292 0
-278 187 -103 0
199 -153 141 0
132 287 -239 0
-229 -223 -240 0
-237 -139 -72 0
-265 181 83 0
-70 237 278 0
158 -29 199 0
-138 223 59 0
3 12 173 0
97 -209 131 0
87 7 275 0
-64 182 141 0
-91 -52 276 0
95 142 -141 0
-292 -52 -224 0
145 -8 283 0
-261 -112 -120 0
-61 287 -25 0
165 116 121 0
-172 22 -77 0
-48 26 243 0
205 -50 93 0
-36 -158 237 0
-293 -53 -175 0
137 214 13 0
-203 -112 -216 0
-214 -123 -60 0
-191 -109 5 0
227 -199 -116 0
108 -58 -91 0
-235 -236 -294 0
-233 -41 117 0
248 -39 -86 0
11 186 -44 0
64 172 266 0
73 -271 255 0
-159 -120 -56 0
-268 265 296 0
-93 207 157 0
-186 138 2 0
-256 220 -228 0
-296 99 -216 0
-38 -90 300 0
159 101 -43 0
