c A permuted SAT Competition 2007 formula with seed=557025447
p cnf 700 3500
-551 -271 601 0
528 285 -124 0
153 -621 298 0
-522 152 -386 0
-208 598 -619 0
565 -4 436 0
-35 -324 -241 0
-304 -615 -528 0
-205 508 -532 0
-57 572 -399 0
-77 9 619 0
-296 87 499 0
-423 -132 -488 0
-73 -552 284 0
244 389 -535 0
586 391 618 0
-300 509 254 0
-397 -532 383 0
-261 -323 432 0
93 222 -187 0
-675 612 -469 0
-534 -577 146 0
-672 71 501 0
657 544 422 0
214 -229 578 0
326 22 -339 0
171 -467 100 0
-41 239 581 0
-495 673 -534 0
406 -392 123 0
-82 -369 669 0
-343 516 -238 0
193 51 -480 0
-528 401 -178 0
553 -69 514 0
-181 59 -345 0
-518 155 483 0
97 309 442 0
-274 165 498 0
76 366 252 0
295 428 -184 0
-657 398 669 0
73 237 310 0
-620 -537 -169 0
-483 -390 9 0
-257 -461 -628 0
-19 543 -57 0
-194 83 -307 0
-534 228 575 0
670 -598 -450 0
44 -176 510 0
391 -68 303 0
-133 101 699 0
-339 -525 -504 0
456 -367 440 0
-180 -255 -197 0
490 566 -269 0
468 405 247 0
453 -390 30 0
411 37 -28 0
-404 -1 441 0
-436 647 -553 0
-576 -141 -156 0
227 46 244 0
-60 176 536 0
174 206 552 0
262 207 613 0
-309 253 -133 0
266 420 26 0
-351 -402 160 0
-465 -51 508 0
-456 -13 218 0
570 299 109 0
425 674 665 0
168 243 -39 0
-423 259 655 0
-3 -696 -154 0
-324 413 367 0
-521 510 449 0
-30 700 532 0
39 -154 -134 0
242 446 -606 0
266 196 49 0
345 542 469 0
-140 612 502 0
-105 236 307 0
561 489 -236 0
155 424 658 0
72 -227 83 0
-146 228 524 0
-419 -128 -144 0
269 334 425 0
323 -17 514 0
-644 402 408 0
387 174 -93 0
-428 -679 -252 0
-93 643 13 0
76 530 -560 0
109 -534 387 0
672 627 -559 0
644 308 519 0
-624 347 194 0
629 -620 460 0
-183 574 -668 0
523 -73 -410 0
164 86 -250 0
-687 -414 672 0
-321 571 329 0
-253 410 -429 0
-683 -345 -291 0
356 -160 -63 0
-486 407 -267 0
-562 340 -569 0
525 -86 -304 0
79 -490 537 0
-33 486 -654 0
-43 518 431 0
-421 681 45 0
371 194 525 0
-185 -123 -396 0
-155 371 179 0
685 -259 -357 0
-67 -89 356 0
-197 378 -450 0
-138 -547 -585 0
82 -545 -629 0
-523 577 -287 0
-134 -613 340 0
64 -383 -229 0
630 474 -629 0
-661 405 -308 0
114 479 527 0
-547 273 215 0
-545 -374 -191 0
-397 343 -86 0
-606 541 52 0
323 -603 679 0
309 -503 -572 0
-382 409 695 0
156 140 655 0
-413 -205 -614 0
298 663 -533 0
247 563 198 0
530 378 -374 0
683 -575 179 0
694 521 196 0
57 -131 318 0
-678 322 209 0
376 638 -430 0
-177 90 -256 0
149 -354 -10 0
111 435 205 0
-343 2 -505 0
-267 -66 154 0
-231 127 -556 0
-232 -634 -499 0
-689 590 -523 0
-430 -286 164 0
334 569 -469 0
282 -388 520 0
-533 672 -596 0
-234 468 352 0
-402 -543 501 0
-209 -473 -506 0
536 669 469 0
-394 604 204 0
-532 -193 632 0
56 382 183 0
103 -303 675 0
480 -341 639 0
-382 -23 -603 0
281 364 503 0
408 126 -313 0
-389 -81 153 0
