c SAT09-Contest Parameters: unif k=3 r=4.25 v=560 c=2380 seed=1879859331
c Uniform UNKNOWN KSAT Instance k=3, nbc=2380, nbv=560, seed=1879859331
p cnf 560 2380
479 -149 89 0
-191 -348 -369 0
-265 -431 558 0
321 450 -306 0
129 390 125 0
522 462 43 0
169 -258 -185 0
142 492 -92 0
156 -506 -60 0
-17 505 -541 0
397 -112 -51 0
-288 -387 -175 0
51 459 -328 0
-473 404 -529 0
109 91 391 0
-122 -12 -525 0
388 -282 -236 0
-225 212 270 0
115 463 -40 0
-420 -417 200 0
22 474 -555 0
-96 129 35 0
-273 -91 383 0
464 543 454 0
-238 169 264 0
-341 -130 318 0
-131 506 -230 0
64 240 426 0
515 -558 -135 0
-518 -205 -467 0
495 -194 501 0
-189 -365 331 0
114 -536 548 0
415 -169 -439 0
-304 -117 524 0
-417 -270 -523 0
-2 282 -284 0
-400 446 -190 0
-216 -376 456 0
-128 92 -147 0
-267 513 54 0
-187 -65 422 0
-520 185 77 0
279 418 -116 0
-349 -511 -488 0
494 101 172 0
-362 -211 266 0
-215 334 70 0
-214 142 -442 0
384 502 110 0
-432 -64 -490 0
-128 33 -157 0
-410 -523 -210 0
-34 381 495 0
-434 492 92 0
245 84 -496 0
544 305 -401 0
314 -272 -433 0
-309 -345 -82 0
391 -37 331 0
363 -92 323 0
461 90 -322 0
-105 180 -351 0
-298 -519 -228 0
-362 556 381 0
526 -341 -70 0
-84 -409 175 0
-103 244 96 0
334 -133 -477 0
-333 -419 -116 0
95 422 138 0
537 -462 395 0
555 356 219 0
-272 285 -286 0
205 479 -387 0
-302 116 355 0
95 -475 157 0
73 -247 389 0
320 -458 -505 0
246 241 213 0
-199 -548 117 0
-9 114 -208 0
-233 422 -148 0
384 -350 511 0
464 -444 361 0
-211 -49 314 0
541 -377 -245 0
-365 -305 -395 0
476 -359 498 0
559 -506 -546 0
537 305 -395 0
-192 -379 469 0
33 -539 500 0
-229 31 120 0
338 -370 -560 0
-28 -551 2 0
390 -200 202 0
271 382 12 0
62 176 -268 0
-61 413 -328 0
225 389 -128 0
-41 24 -165 0
-348 460 -124 0
-490 151 278 0
400 -464 -208 0
-105 -26 -88 0
324 110 -368 0
-13 -148 -325 0
383 457 359 0
392 -512 -452 0
-525 32 490 0
-144 -248 40 0
-526 -211 -524 0
-385 -229 318 0
455 226 -444 0
6 -113 -399 0
-157 -295 235 0
460 386 315 0
84 -134 -420 0
-339 -41 162 0
121 333 -205 0
-275 -154 -206 0
-343 -29 -214 0
517 482 -50 0
543 97 392 0
-508 425 -185 0
451 431 -469 0
433 -181 -419 0
245 -133 -466 0
-508 10 -471 0
-302 -353 -138 0
-236 -438 74 0
